 ID 	 ID_Query 	 Query 	 Position 	 URL 	 Main 	 Title 	 IP 	 Timestamp 	 SEO_Class 	 HTML 	 Screenshot 	 SEO_Timestamp 	 ads 	 canonical 	 company 	 description 	 external 	 h1 	 https 	 internal 	 keyword_density 	 keywords_in_source 	 keywords_in_url 	 loading_time 	 micros 	 news 	 nofollow 	 not_optimized 	 og 	 robots_txt 	 search_engine_services 	 seo_customers 	 shops 	 sitemap 	 title 	 tools ads 	 tools analytics 	 tools caching 	 tools content 	 tools seo 	 tools social 	 url_length 	 viewport 	 wordpress 
1	1	 koldioxid växt välgörande 	1	 https://klimathotet.com/2017/07/15/first-blog-post-28/ 	 https://www.hornbach.se/ 	 Luftrenande växter - växter som fuktar & renar luften | HORNBACH 	 34.117.239.67 	 2023-03-06 18:36:57.856910 	 probably_optimized 	 1_1.html 	 1_1.png 	 2023-03-06 18:48:33.029660 	 0 	 1 	 0 	 1 	 6 	 0 	 1 	 187 	 4.0 	 40 	 0 	 0.424 	 0 	 0 	 0 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 39 	 1 	 0 
2	1	 koldioxid växt välgörande 	2	 https://www.naturskyddsforeningen.se/faktablad/hur-fungerar-vaxthuseffekten/ 	 https://www.naturskyddsforeningen.se/ 	 Hur fungerar växthuseffekten? - Naturskyddsföreningen 	 76.76.21.22 	 2023-03-06 18:36:57.858418 	 probably_optimized 	 1_2.html 	 1_2.png 	 2023-03-06 18:50:04.620165 	 0 	 1 	 0 	 1 	 18 	 1 	 1 	 113 	 4.0 	 61 	 0 	 2.349 	 0 	 0 	 0 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 64 	 1 	 0 
3	1	 koldioxid växt välgörande 	3	 https://utslappisiffror.naturvardsverket.se/sv/Amnen/Vaxthusgaser/Koldioxid/ 	 https://utslappisiffror.naturvardsverket.se/ 	 Koldioxid (CO2) - naturvardsverket.se 	 109.205.219.107 	 2023-03-06 18:36:57.858918 	 probably_not_optimized 	 1_3.html 	 1_3.png 	 2023-03-06 18:51:44.717512 	 0 	 0 	 0 	 0 	 16 	 1 	 1 	 23 	 8.0 	 31 	 1 	 1.045 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 68 	 1 	 0 
4	1	 koldioxid växt välgörande 	4	 https://www.slu.se/centrumbildningar-och-projekt/epok-centrum-for-ekologisk-produktion-och-konsumtion/vad-sager-forskningen/klimat/vaxthusgaserna---koldioxid-metan-och-lustgas/ 	 https://www.slu.se/ 	 Växthusgaserna - koldioxid, metan och lustgas | Externwebben 	 77.235.229.85 	 2023-03-06 18:36:57.885418 	 probably_optimized 	 1_4.html 	 1_4.png 	 2023-03-06 18:52:53.606442 	 0 	 1 	 0 	 1 	 19 	 1 	 1 	 360 	 2.0 	 102 	 1 	 0.95 	 0 	 0 	 2 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 164 	 1 	 0 
5	1	 koldioxid växt välgörande 	5	 https://www.svt.se/nyheter/vetenskap/vaxter-hjalper-till-i-koldioxidkrisen 	 https://www.svt.se/ 	 Växter hjälper till i koldioxidkrisen | SVT Nyheter 	 92.122.78.97 	 2023-03-06 18:36:57.885918 	 probably_optimized 	 1_5.html 	 1_5.png 	 2023-03-06 18:54:17.337932 	 0 	 1 	 0 	 1 	 25 	 4 	 1 	 43 	 3.0 	 51 	 1 	 0.944 	 0 	 0 	 3 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 62 	 1 	 0 
6	1	 koldioxid växt välgörande 	6	 https://fof.se/artikel/2020/2/ger-mer-koldioxid-frodigare-vaxter/ 	 https://fof.se/ 	 Ger mer koldioxid frodigare växter? | Forskning & Framsteg 	 139.162.130.140 	 2023-03-06 18:36:57.898418 	 probably_optimized 	 1_6.html 	 1_6.png 	 2023-03-06 18:55:43.049531 	 0 	 1 	 0 	 1 	 3 	 1 	 1 	 96 	 3.0 	 32 	 1 	 1.258 	 0 	 0 	 4 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 57 	 1 	 0 
7	1	 koldioxid växt välgörande 	7	 https://sv.wikipedia.org/wiki/Koldioxid 	 https://sv.wikipedia.org/ 	 Koldioxid - Wikipedia 	 91.198.174.192 	 2023-03-06 18:36:57.898918 	 probably_optimized 	 1_7.html 	 1_7.png 	 2023-03-06 18:57:40.664058 	 0 	 1 	 0 	 0 	 187 	 0 	 1 	 415 	 4.0 	 159 	 1 	 0.35 	 0 	 0 	 41 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 31 	 1 	 0 
8	1	 koldioxid växt välgörande 	8	 https://klimatsans.com/2017/05/26/koldioxidens-valgorande-verkan/ 	 https://klimatsans.com/ 	 Koldioxidens välgörande verkan | KLIMATSANS 	 50.87.253.110 	 2023-03-06 18:36:57.899418 	 probably_optimized 	 1_8.html 	 1_8.png 	 2023-03-06 18:59:03.128603 	 0 	 1 	 0 	 1 	 13 	 3 	 1 	 179 	 4.0 	 67 	 1 	 2.49 	 0 	 0 	 14 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 57 	 1 	 1 
9	1	 koldioxid växt välgörande 	9	 https://www.mabra.com/feelgood/7-vaxter-som-renar-din-luft-hemma/6532860 	 https://www.mabra.com/ 	 Växter som renar luften - 7 gröna förslag | MåBra - Mabra.com 	 104.18.20.170 	 2023-03-06 18:36:57.899418 	 probably_optimized 	 1_9.html 	 1_9.png 	 2023-03-06 19:00:22.461587 	 0 	 1 	 0 	 1 	 61 	 1 	 1 	 105 	 0.0 	 35 	 0 	 1.705 	 0 	 0 	 25 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 60 	 1 	 0 
10	1	 koldioxid växt välgörande 	10	 https://fragaenbiolog.blogg.lu.se/hur-anvander-vaxter-koldioxid/ 	 https://fragaenbiolog.blogg.lu.se/ 	 Hur använder växter koldioxid? - Fråga en Biolog 	 130.235.138.27 	 2023-03-06 18:36:57.918418 	 probably_optimized 	 1_10.html 	 1_10.png 	 2023-03-06 19:02:14.413381 	 0 	 1 	 0 	 1 	 1 	 0 	 1 	 17 	 10.0 	 36 	 1 	 1.244 	 0 	 0 	 0 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 56 	 1 	 0 
