id;searchengine_id;searchengine;query_id;query;url;main;position;created_at;ip
3518;9;Google_News_DE;105;rammstein;https://www.lecker.de/klassisches-porridge-62688.html;https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143
3518;9;Google_News_DE;105;rammstein;https://www.bestereviews.de/staubsaugerroboter?targetid=dsa-469483434121&matchtype=&device=c&campaignid=20031442225&creative=656145217150&adgroupid=151953062841&feeditemid=111968907497&loc_physical_ms=9043816&loc_interest_ms=&network=g&devicemodel=&placement=&keyword=$&target=&aceid=&adposition=&trackid=de_all_ls_top_1_1&mId=407-132-4411&trackOld=true&gad_source=1&gclid=CjwKCAjwl4yyBhAgEiwADSEjeIYeq2I7Vv-hrK945HSNWapnuUvP_DbDi0LgyEK5QGJPOZtxt1mEQBoCyP4QAvD_BwE";https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143
3518;9;Google_News_DE;105;rammstein;https://www.chip.de/bestenlisten/Bestenliste-Handys--index/index/id/900/ ;https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143
3518;9;Google_News_DE;105;rammstein;https://www.selbst.de/elektrische-reinigungsbuerste-68594.html;https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143
3518;9;Google_News_DE;105;rammstein;https://www.vergleich.org/elektrische-reinigungsbuerste/;https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143
3518;9;Google_News_DE;105;rammstein;https://www.wunderweib.de/elektrische-reinigungsbuerste-116407.html;https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143
3518;9;Google_News_DE;105;rammstein;https://www.faz.net/kaufkompass/test/die-beste-schlagbohrmaschine/;https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143
3518;9;Google_News_DE;105;rammstein;https://www.werkzeugforum.de/stiftung-warentest-bohrmaschinen-im-test/;https://www.stern.de/;1;2023-07-19T14:21:44.016Z;2.16.241.143









